Course ID,Course Name,Average Rating,Average Sentiment Score,Average Score,Platform,Institution,Course URL,Number of Ratings,Number of Reviews
936676,Beast Android Development: Advanced Android UI,4.020833333333333,3.7916666666666665,7.8125,Udemy ,Not Available,Not Available,24,24
936854,Build an Augmented Reality android app in 1 hour!,4.29245283018868,3.9588679245283016,8.25132075471698,Udemy ,Not Available,Not Available,53,53
937134,Ionic 3 - Learn How to Design Ionic Apps,4.566666666666666,3.788,8.354666666666667,Udemy ,Not Available,Not Available,15,15
937206,Selenium WebDriver with Java -Basics to Advanced+Frameworks,3.928571428571429,3.6028571428571428,7.531428571428571,Udemy ,Not Available,Not Available,14,14
937208,"Learn Google Admob, Analytics, and In App Purchases in Swift",4.666666666666667,4.4,9.066666666666666,Udemy ,Not Available,Not Available,3,3
937388,"DevOps with AWS CodePipeline, Jenkins and AWS CodeDeploy",4.39922480620155,3.874263565891473,8.273488372093023,Udemy ,Not Available,Not Available,129,129
937586,"Coding for Entrepreneurs: Learn Python, Django, and More.",4.4605263157894735,4.03842105263158,8.498947368421051,Udemy ,Not Available,Not Available,38,38
939452,Mobile App Design from scratch with Sketch 3 : UX and UI,4.1,3.86,7.959999999999999,Udemy ,Not Available,Not Available,5,5
939536,Kotlin for Android O Development: From Beginner to Advanced,2.5,2.12,4.62,Udemy ,Not Available,Not Available,1,1
939566,Complete ASP NET MVC Web Development - Newbie to Ninja!,5.0,4.45,9.45,Udemy ,Not Available,Not Available,4,4
939712,All about NodeJS,4.0,4.238,8.238,Udemy ,Not Available,Not Available,10,10
939814,"Architect Android apps with MVP, Dagger, Retrofit & RxJava",4.293333333333333,4.019733333333334,8.313066666666668,Udemy ,Not Available,Not Available,150,150
939962,"Learn SVG Animation - With HTML, CSS & Javascript",4.385593220338983,4.0794915254237285,8.465084745762711,Udemy ,Not Available,Not Available,118,118
940034,"DevOps with AWS CodePipeline, Jenkins and AWS CodeDeploy",3.2,4.1,7.3,Udemy ,Not Available,Not Available,5,5
940666,The Ultimate Excel Programmer Course,3.5,3.18,6.68,Udemy ,Not Available,Not Available,2,2
940700,In-Depth Software Testing Training Course From Scratch,4.0,3.0,7.0,Udemy ,Not Available,Not Available,1,1
940802,Learn C# Programming (In Ten Easy Steps),5.0,4.13,9.13,Udemy ,Not Available,Not Available,2,2
940964,Become a Big Data Hadoop Developer from scratch,3.571428571428572,3.597142857142857,7.168571428571428,Udemy ,Not Available,Not Available,7,7
94100,Microsoft SQL Server 2012 Certification Training Exam 70-462,4.444444444444445,3.8,8.244444444444444,Udemy ,Not Available,Not Available,45,45
941024,Solidity Smart Contracts: Build DApps In Ethereum Blockchain,5.0,4.23,9.23,Udemy ,Not Available,Not Available,2,2
941998,"Master Electron v5: Desktop Apps with HTML, JavaScript & CSS",4.470833333333333,3.951333333333333,8.422166666666666,Udemy ,Not Available,Not Available,120,120
942002,Make a Match-Three Puzzle Game in Unity,4.288461538461538,4.072307692307692,8.36076923076923,Udemy ,Not Available,Not Available,52,52
942454,iOS Swift Course. From Zero to Advance. Build 60+ Apps,4.391304347826087,3.9756521739130433,8.36695652173913,Udemy ,Not Available,Not Available,46,46
942674,Java OOPS:basics for beginners,4.125,4.21,8.335,Udemy ,Not Available,Not Available,4,4
943306,LEARNING PATH: Laravel: Complete Guide to Laravel,4.884615384615385,4.138461538461538,9.023076923076925,Udemy ,Not Available,Not Available,13,13
943362,Teach Your Kids to Code: Learn Python Programming at Any Age,3.857142857142857,4.0371428571428565,7.894285714285714,Udemy ,Not Available,Not Available,7,7
943388,Advanced Java programming with JavaFx: Write an email client,4.5,4.05,8.55,Udemy ,Not Available,Not Available,14,14
